0,1,16,22,28,34,40
Min,unixbench-syscall-1,393798,394477,392132,264957,312356
Min,unixbench-syscall-4,750846,582907,581444,472732,479694
Amean,unixbench-syscall-1,393918,394732,392284,282261,323667
Amean,unixbench-syscall-4,752807,587349,586197,479050,494032
Stddev,unixbench-syscall-1,133.148,246.387,148.619,26371.1,14454.1
Stddev,unixbench-syscall-4,1813.77,5320.39,4753.47,7273.42,13553.4
CoeffVar,unixbench-syscall-1,0.03381,0.0622442,0.0378776,9.30089,4.46666
CoeffVar,unixbench-syscall-4,0.241146,0.902518,0.811018,1.51755,2.73831
Max,unixbench-syscall-1,394057,394944,392408,312525,339621
Max,unixbench-syscall-4,754302,593061,590670,486708,504375
BAmean-50,unixbench-syscall-1,393798,394477,392132,264957,312356
BAmean-50,unixbench-syscall-4,750846,582907,581444,472732,479694
BAmean-95,unixbench-syscall-1,393849,394626,392222,267129,315690
BAmean-95,unixbench-syscall-4,752060,584493,583961,475221,488860
BAmean-99,unixbench-syscall-1,393849,394626,392222,267129,315690
BAmean-99,unixbench-syscall-4,752060,584493,583961,475221,488860
