0,1,2,3,4,5,6,7,8,9,10,11
Lat,50.0th-qrtle-1,100,False,110,-10,115,-15,106,-6,120,-20
Lat,75.0th-qrtle-1,128,False,138,-7.8125,148,-15.625,128,0,152,-18.75
Lat,90.0th-qrtle-1,156,False,167,-7.05128205128206,173,-10.8974358974359,154,1.28205128205128,175,-12.1794871794872
Lat,95.0th-qrtle-1,170,False,173,-1.76470588235294,178,-4.70588235294117,175,-2.94117647058823,181,-6.47058823529412
Lat,99.0th-qrtle-1,186,False,190,-2.15053763440861,185,0.537634408602145,192,-3.2258064516129,188,-1.0752688172043
Lat,99.5th-qrtle-1,188,False,219,-16.4893617021277,188,0,192,-2.12765957446808,188,0
Lat,99.9th-qrtle-1,188,False,219,-16.4893617021277,189,-0.531914893617028,192,-2.12765957446808,188,0
Lat,50.0th-qrtle-2,106,False,106,0,113,-6.60377358490567,104,1.88679245283019,110,-3.77358490566037
Lat,75.0th-qrtle-2,132,False,134,-1.51515151515152,143,-8.33333333333333,136,-3.03030303030303,142,-7.57575757575758
Lat,90.0th-qrtle-2,168,False,170,-1.19047619047619,172,-2.38095238095238,163,2.97619047619048,179,-6.54761904761905
Lat,95.0th-qrtle-2,181,False,179,1.10497237569061,185,-2.20994475138122,173,4.41988950276243,195,-7.73480662983425
Lat,99.0th-qrtle-2,207,False,201,2.89855072463769,219,-5.79710144927536,211,-1.93236714975845,205,0.966183574879224
Lat,99.5th-qrtle-2,215,False,212,1.3953488372093,221,-2.79069767441861,237,-10.2325581395349,210,2.32558139534883
Lat,99.9th-qrtle-2,230,False,212,7.82608695652173,229,0.434782608695656,264,-14.7826086956522,210,8.69565217391305
Lat,50.0th-qrtle-3,114,False,121,-6.14035087719299,111,2.63157894736842,115,-0.877192982456137,125,-9.64912280701755
Lat,75.0th-qrtle-3,144,False,144,0,143,0.694444444444443,141,2.08333333333333,153,-6.25
Lat,90.0th-qrtle-3,173,False,170,1.73410404624278,169,2.3121387283237,169,2.3121387283237,183,-5.78034682080924
Lat,95.0th-qrtle-3,192,False,186,3.125,187,2.60416666666667,187,2.60416666666667,207,-7.8125
Lat,99.0th-qrtle-3,217,False,211,2.76497695852535,217,0,222,-2.30414746543779,234,-7.83410138248848
Lat,99.5th-qrtle-3,224,False,219,2.23214285714286,224,0,232,-3.57142857142857,272,-21.4285714285714
Lat,99.9th-qrtle-3,242,False,221,8.67768595041322,225,7.02479338842976,232,4.13223140495867,463,-91.3223140495868
