0,thread,BASELINE,XENTRACE,XENTRACE_ALL
Min,unixbench-spawn-1,7795.47,8948.4,9314.6
Min,unixbench-spawn-8,38101,38170.1,38728.9
Hmean,unixbench-spawn-1,8672.44,9155.24294320886,9438.65403222494
Hmean,unixbench-spawn-8,38322.6,38623.129880388,38934.9087689327
Stddev,unixbench-spawn-1,1025.56,250.529446040447,132.969883808327
Stddev,unixbench-spawn-8,200.281,406.861979054322,180.282731655955
CoeffVar,unixbench-spawn-1,11.967,2.73510729211203,1.4085941991793
CoeffVar,unixbench-spawn-8,0.521156,1.05333707620339,0.463029589960708
Max,unixbench-spawn-1,9826.17,9436.5,9579.4
Max,unixbench-spawn-8,38482.3,38952.2,39061.1
BHmean-50,unixbench-spawn-1,9826.17,9436.5,9579.4
BHmean-50,unixbench-spawn-8,38482.3,38952.2,39061.1
BHmean-95,unixbench-spawn-1,9207.34,9262.29223621087,9501.92849077353
BHmean-95,unixbench-spawn-8,38435.1,38853.7015551829,39038.7372044443
BHmean-99,unixbench-spawn-1,9207.34,9262.29223621087,9501.92849077353
BHmean-99,unixbench-spawn-8,38435.1,38853.7015551829,39038.7372044443
